limit_profile,index,target_wavelength_nm,measured_wavelength_nm,wavelength_error_pm,target_power_mw,measured_power_mw,power_error_percent,smsr_db,peak_count,single_mode_pass,gain_ma,soa_ma,phase_ma,wavelength_a_ma,wavelength_b_ma,gain_code,soa_code,phase_code,wavelength_a_code,wavelength_b_code,pdt_reference_code,pdr_reference_code,power_feedback_channel,power_feedback_reference_code,power_feedback_rail_margin_code,power_feedback_hardware_eligible,guard_stage_count,guard_hold_ms_per_stage
fullband_2001_145mA_v1,550,1536.000000,1535.99850000,-1.500000,2.056000,2.052458932,-0.172231,25.820125,140,1,144.998932,123.255157,1.000061,19.776611,12.104492,63351,53851,3277,16201,9916,,,,0,0,0,0,0
fullband_2001_145mA_v1,551,1536.020000,1536.01936000,-0.640000,2.056000,2.062562256,0.319176,24.787673,155,1,144.998932,122.113037,1.000061,19.276123,11.903076,63351,53352,3277,15791,9751,,,,0,0,0,0,0
fullband_2001_145mA_v1,552,1536.040000,1536.03958000,-0.420000,2.056000,2.049407022,-0.320670,28.820514,144,1,144.998932,131.570435,8.999939,20.928955,11.944580,63351,57484,29491,17145,9785,,,,0,0,0,0,0
fullband_2001_145mA_v1,553,1536.060000,1536.05960000,-0.400000,2.056000,2.049928385,-0.295312,26.152896,166,1,144.998932,119.288635,3.999939,18.492432,11.549072,63351,52118,13107,15149,9461,,,,0,0,0,0,0
fullband_2001_145mA_v1,554,1536.080000,1536.07962000,-0.380000,2.056000,2.063591522,0.369237,26.181931,133,1,144.998932,119.888306,3.517761,18.243408,12.364502,63351,52380,11527,14945,10129,,,,0,0,0,0,0
fullband_2001_145mA_v1,555,1536.100000,1536.09961000,-0.390000,2.056000,2.048767848,-0.351758,25.789162,132,1,144.998932,118.922424,3.517761,18.100586,11.999512,63351,51958,11527,14828,9830,,,,0,0,0,0,0
fullband_2001_145mA_v1,556,1536.120000,1536.11943000,-0.570000,2.056000,2.064577034,0.417171,25.787627,138,1,144.998932,113.104248,3.279419,18.100586,11.999512,63351,49416,10746,14828,9830,,,,0,0,0,0,0
fullband_2001_145mA_v1,557,1536.140000,1536.13926000,-0.740000,2.056000,2.053941094,-0.100141,25.692517,142,1,144.998932,114.422607,3.068542,18.000488,11.999512,63351,49992,10055,14746,9830,,,,0,0,0,0,0
fullband_2001_145mA_v1,558,1536.160000,1536.15944000,-0.560000,2.056000,2.055958590,-0.002014,27.733085,141,1,144.998932,115.539551,2.840576,18.000488,11.999512,63351,50480,9308,14746,9830,,,,0,0,0,0,0
fullband_2001_145mA_v1,559,1536.180000,1536.17962000,-0.380000,2.056000,2.036453946,-0.950684,31.980112,138,1,144.998932,117.336273,2.616882,18.000488,11.999512,63351,51265,8575,14746,9830,,,,0,0,0,0,0
fullband_2001_145mA_v1,560,1536.200000,1536.19982000,-0.180000,2.056000,2.064359523,0.406592,32.679793,154,1,144.998932,119.597626,2.616882,17.950439,11.645508,63351,52253,8575,14705,9540,,,,0,0,0,0,0
fullband_2001_145mA_v1,561,1536.220000,1536.21928000,-0.720000,2.056000,2.054808265,-0.057964,32.610345,117,1,144.998932,118.412018,2.355652,17.915039,11.729736,63351,51735,7719,14676,9609,,,,0,0,0,0,0
fullband_2001_145mA_v1,562,1536.240000,1536.23898000,-1.020000,2.056000,2.057946574,0.094678,31.309986,117,1,144.998932,119.274902,2.355652,17.678223,11.455078,63351,52112,7719,14482,9384,,,,0,0,0,0,0
fullband_2001_145mA_v1,563,1536.260000,1536.25940000,-0.600000,2.056000,2.037706032,-0.889784,27.988410,116,1,144.998932,122.341919,6.119385,17.924805,11.813965,63351,53452,20052,14684,9678,,,,0,0,0,0,0
fullband_2001_145mA_v1,564,1536.280000,1536.27845000,-1.550000,2.056000,2.047661195,-0.405584,25.539968,176,1,144.998932,121.197510,2.531128,16.676025,10.523682,63351,52952,8294,13661,8621,,,,0,0,0,0,0
fullband_2001_145mA_v1,565,1536.300000,1536.29936000,-0.640000,2.056000,2.063631170,0.371166,25.641216,174,1,144.998932,123.275757,2.381287,16.625977,10.457764,63351,53860,7803,13620,8567,,,,0,0,0,0,0
fullband_2001_145mA_v1,566,1536.320000,1536.31977000,-0.230000,2.056000,2.036076883,-0.969023,32.899274,171,1,144.998932,119.352722,2.204590,16.600342,10.500488,63351,52146,7224,13599,8602,,,,0,0,0,0,0
fullband_2001_145mA_v1,567,1536.340000,1536.33930000,-0.700000,2.056000,2.060206130,0.204578,25.018125,174,1,144.998932,119.691467,2.153015,16.265869,10.194092,63351,52294,7055,13325,8351,,,,0,0,0,0,0
fullband_2001_145mA_v1,568,1536.360000,1536.35915000,-0.850000,2.056000,2.050441324,-0.270364,30.995348,152,1,144.998932,121.929932,6.245422,16.600342,10.500488,63351,53272,20465,13599,8602,,,,0,0,0,0,0
fullband_2001_145mA_v1,569,1536.380000,1536.37969000,-0.310000,2.056000,2.042282876,-0.667175,27.718440,178,1,144.998932,114.740753,5.815430,16.600342,10.500488,63351,50131,19056,13599,8602,,,,0,0,0,0,0
fullband_2001_145mA_v1,570,1536.400000,1536.39919000,-0.810000,2.056000,2.046425590,-0.465681,27.724300,156,1,144.998932,115.722656,5.443115,16.550293,10.500488,63351,50560,17836,13558,8602,,,,0,0,0,0,0
fullband_2001_145mA_v1,571,1536.420000,1536.41911000,-0.890000,2.056000,2.045791586,-0.496518,30.905036,164,1,144.998932,114.765930,5.038757,16.600342,10.500488,63351,50142,16511,13599,8602,,,,0,0,0,0,0
